title,blogger,postdate,link,brand_candidates,brand_matched_keywords,product_category_candidates,product_category_matched_keywords,mapping_note
제주도 중문 마사지샵 선택과 본테라피 전신 밸런스 마사지...,미소,20260505,https://blog.naver.com/vcavieotvmj0616/224275353223,알레,"{""알레"": [""알레""]}",,{},brand_direct_match
진주 초전동에서 만난 최고의 마사지와 해독 테라피 경험,솔바람,20260505,https://blog.naver.com/478zjxyluvhmd/224275351140,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
해변 근처에서 느끼는 온도 힐링 해운대마사지의 매력,Arel,20260505,https://blog.naver.com/urglmpa/224275351602,네이버,"{""네이버"": [""네이버""]}",,{},brand_direct_match
"서초피부관리 서초아로마마사지, 힐링포인트",도움되는정보통모음,20260505,https://blog.naver.com/rjswl27/224275346951,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
"요즘 산후 몸살에 시달리는 당신, 일산산후마사지로 풀어볼까?",일상 맛집과 건강 이야기,20260505,https://blog.naver.com/ehddusqusjyi_39/224275344716,,{},,{},no_brand_or_category_match
레노포프 천연 아로마오일로 편안한 수면 위한 소개,순수한 마음의 일기,20260505,https://blog.naver.com/viokh71lma03m7/224275341949,레노포프,"{""레노포프"": [""레노포프""]}","라벤더 계열, 블렌딩 오일 계열","{""라벤더 계열"": [""라벤더""], ""블렌딩 오일 계열"": [""수면"", ""숙면""]}",brand_direct_match
평택두피관리 커플 헤드스파 추천 에멜리아 솔직 후기,"오늘도 내일도, 혜온쓰의 일상",20260505,https://blog.naver.com/hyewon0645/224275339986,,{},,{},no_brand_or_category_match
제주특별자치도 제주시 더힐링타임,so sweet,20260505,https://sweetit.co.kr/11078897,,{},,{},no_brand_or_category_match
노랑풍선 리조트 패키지 여행 노랑풍선 리조트 패키지 여행...,노랑풍선언니,20260505,https://blog.naver.com/ktmsharing/224275336373,,{},,{},no_brand_or_category_match
해운대마사지 소화 불량 완화와 가스 배출 관리 방법,BrandSeoul,20260505,https://blog.naver.com/discours4048/224275335223,네이버,"{""네이버"": [""네이버""]}",블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_direct_match
서초피부관리 서초아로마마사지 부드럽고 맑은 피부,초밥잉,20260505,https://blog.naver.com/sunny1231230/224275333026,,{},,{},no_brand_or_category_match
요즘 몸이 무거워서 고양산전관리 찾는 당신들 공감돼?,맛집과 건강 일상,20260505,https://blog.naver.com/tueoowhsda/224275321098,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
일산마사지 잘하는 곳 찾는다면? 실패 없는 선택 기준과 관리...,맛집과 건강 일상,20260505,https://blog.naver.com/pbr4q3eisa/224275322039,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""블렌딩"", ""스트레스""]}",brand_not_found_product_category_mapping
"피부가 푸석푸석해지는 일상, 대전 피부관리로 깨우기",맛집과 일상 건강,20260505,https://blog.naver.com/r25405/224275326389,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
얼굴마사지로 느끼는 당신의 새로운 아름다움,게으른 난폭한부엉이,20260505,https://blog.naver.com/ectierucjj48078/224275326429,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""릴렉스"", ""스트레스""]}",brand_not_found_product_category_mapping
"천안왁싱 고민 끝, 통증 걱정 없는 브라질리언 및 수염 왁싱 후기",맛집과 건강 이야기,20260505,https://blog.naver.com/fy1prf0yr/224275305800,,{},"티트리 계열, 블렌딩 오일 계열","{""티트리 계열"": [""티트리""], ""블렌딩 오일 계열"": [""블렌딩"", ""스트레스""]}",brand_not_found_product_category_mapping
"안산고잔동마사지 안산아로마마사지 추천 ""퍼스트풋샵마사지...",데굴데굴 굴러가는 하루모음집,20260505,https://blog.naver.com/ehdehdwl1004/224275319442,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""릴렉스""]}",brand_not_found_product_category_mapping
생리 불규칙하고 피곤해? 여성 건강 체크부터 해보자,일상 맛집과 건강 노하우,20260505,https://blog.naver.com/fvoopomlx/224275316582,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""수면"", ""스트레스""]}",brand_not_found_product_category_mapping
대구피부관리 수성구피부관리 프라이빗 에스테틱 추천 온리수...,취미 부자 샘덕이,20260505,https://blog.naver.com/theurban22/224275316690,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""릴렉스""]}",brand_not_found_product_category_mapping
하남 출장 산후마사지 고민이라면? 산후 골반 관리 효과와 업체...,맛집과 건강한 일상,20260505,https://blog.naver.com/y787464/224275315294,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
목포마사지 슈퍼타이 에서 편안한 시간 보내세요,일상,20260505,https://blog.naver.com/dbgotjd8529/224275308578,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
"몸이 뻐근했는데, 아로마 안마를 받으니 시원하게 풀렸어요.",별다방구름,20260505,https://blog.naver.com/gcnifysvcl/224275308424,,{},,{},no_brand_or_category_match
헤어오일 발화 방향제 기버터로 스위치 어디에 대처법,bluelog.kr,20260505,http://www.bluelog.kr/12377,,{},,{},no_brand_or_category_match
힐링 마사지 슈퍼타이 목포마사지,자유로운 세상,20260505,https://blog.naver.com/dnjsrjs_100/224275303580,,{},블렌딩 오일 계열,"{""블렌딩 오일 계열"": [""스트레스""]}",brand_not_found_product_category_mapping
베트남 하노이 호안끼엠 에스테바 스파 피부관리 마사지 힐링...,Vietnamesegirl님의 블로그,20260505,https://blog.naver.com/swvoyage/224274628163,,{},,{},no_brand_or_category_match
