title,blogger,postdate,link,brand_candidates,brand_matched_keywords,product_category_candidates,product_category_matched_keywords,mapping_note
도곡동 미용실 손상없는 트리트먼트펌 후기 - 마끼에...,아이쥬 뷰티/패션/일상 로그,20260430,https://blog.naver.com/mjy22977/224270772764,,{},"히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""]}",brand_not_found_product_category_mapping
[OSULLOC] 오설록 차의 정원 9종 티 구매 후기 | 가벼운...,kitchen-ette,20260430,https://blog.naver.com/kitchen-ette/224270754658,오설록,"{""오설록"": [""OSULLOC"", ""osulloc"", ""오설록""]}","히비스커스 계열, 차/티백 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티"", ""티백""], ""블렌딩티 계열"": [""블렌드""]}",brand_direct_match
벌써 올해 삼분의 일 깔라쓰라늬,"Shape my journey, Shalog",20260430,https://blog.naver.com/sssmmmlee/224270753355,,{},"히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""]}",brand_not_found_product_category_mapping
홈카페 3~4월 기록 차 커피 디저트 모음,미란다의 네버엔딩 스토리 ;-),20260430,https://blog.naver.com/miranda1030/224270741950,"오설록, 립톤, 요기티, 스타벅스, 티타임, 아일레스, 빅토리아, 테틀리","{""오설록"": [""오설록""], ""립톤"": [""립톤""], ""요기티"": [""요기티""], ""스타벅스"": [""스타벅스""], ""티타임"": [""티타임""], ""아일레스"": [""아일레스""], ""빅토리아"": [""빅토리아""], ""테틀리"": [""테틀리""]}","히비스커스 계열, 차/티백 계열, 항산화/비타민 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""항산화/비타민 계열"": [""비타민""], ""아이스티/음료 계열"": [""음료""], ""블렌딩티 계열"": [""베리"", ""블렌드"", ""블렌딩""]}",brand_direct_match
창원 근교 드라이브! 낙동강 뷰와 소원 명당이 있는 뉴 신상카페...,오리온 블로그,20260430,https://blog.naver.com/jgg6262/224270736268,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""아이스티"", ""에이드"", ""음료""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
[프랑스 - 파리] 라 뚜르 다르장 La Tour d'Argent...,와인쟁이 테일러,20260430,https://blog.naver.com/tailorwine/224270723228,,{},"히비스커스 계열, 차/티백 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""]}",brand_not_found_product_category_mapping
"힐링티 오후세시이후, 상큼달큼하게 즐기는 흑하랑상추 티 후기",Welcome to Jaenny_day♥️,20260430,https://blog.naver.com/wodms10/224270719918,루트,"{""루트"": [""루트""]}","히비스커스 계열, 허브티 계열, 차/티백 계열, 카페인 프리 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""허브티 계열"": [""허브티""], ""차/티백 계열"": [""차"", ""티"", ""티백""], ""카페인 프리 계열"": [""논카페인""], ""아이스티/음료 계열"": [""아이스티"", ""음료""], ""블렌딩티 계열"": [""베리""]}",brand_direct_match
인천 연수구 교토 감성 아키라커피 내돈내산 후기,달리는 엄마의 뜨거운 기록,20260430,https://blog.naver.com/jml012/224270263604,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""ade"", ""iced tea"", ""아이스티"", ""에이드""], ""블렌딩티 계열"": [""blend"", ""블렌딩""]}",brand_not_found_product_category_mapping
생활 필수템 오설록 제주 화산 우롱차 티백 사용하기 편한 제품,x04tk0wmjlah-gz1님의 블로그,20260430,https://blog.naver.com/x04tk0wmjlah-gz1/224270705827,"오설록, 티타임","{""오설록"": [""오설록""], ""티타임"": [""티타임""]}","히비스커스 계열, 차/티백 계열, 다이어트/붓기 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티"", ""티백""], ""다이어트/붓기 계열"": [""다이어트""]}",brand_direct_match
[서울] 안국역 카페 도토리가든 데이트하기 좋은 지브리 감성...,엥나의 신혼기록,20260430,https://blog.naver.com/totyu/224270695344,,{},"히비스커스 계열, 차/티백 계열, 아이스티/음료 계열, 블렌딩티 계열","{""히비스커스 계열"": [""히비스커스""], ""차/티백 계열"": [""차"", ""티""], ""아이스티/음료 계열"": [""음료""], ""블렌딩티 계열"": [""베리""]}",brand_not_found_product_category_mapping
