항목,값,설명
검색 키워드,히비스커스티,Naver Blog Search API에 사용한 검색어
최대 수집 후보 수,1000,API start 범위 기준 최대 후보 수
수집된 후보 게시글 수,1000,중복 링크 제거 후 수집된 블로그 후보 수
본문 크롤링 성공 수,995,본문 텍스트 추출에 성공한 게시글 수
직접 브랜드 후보 수,73,수동 브랜드 사전과 쇼핑 API 기반 브랜드 후보군에서 직접 매칭된 후보 수
상품군 맵핑 후보 수,8,브랜드 직접 추출이 어려울 때 상품군으로 보조 맵핑한 후보 수
브랜드/상품군 미매칭 게시글 수,0,브랜드와 상품군 모두 매칭되지 않은 게시글 수
감정 분석 실행 여부,미실행,RUN_SENTIMENT_ANALYSIS=1일 때만 감정 분석을 실행
감정 분석 대상 수,0,본문 길이 기준을 통과하고 SENTIMENT_MAX_ITEMS 제한을 적용한 게시글 수
