brand,shopping_mention_count,source_queries,source_fields
봄봄가든,21,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
자연애푸드,20,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
논산팜,19,"히비스커스 차, 히비스커스 티백, 히비스커스 허브티","brand, maker"
동의한재,19,"hibiscus tea, 히비스커스 차, 히비스커스 허브티, 히비스커스티","brand, maker"
송원식품,19,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
숲으로,19,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
티리얼,19,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
꽃샘식품,18,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
다란,18,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
다익인터내셔널,18,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
엄마애손,18,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
우고래빗,18,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
티브리즈,18,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
와이케이컴퍼니,17,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
마이티리프,16,"히비스커스 티백, 히비스커스 허브티","brand, maker"
신선약초,16,"hibiscus tea, 히비스커스 차, 히비스커스 허브티, 히비스커스티","brand, maker"
티샹떼,16,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
라토스,15,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
아름드레,15,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
이너블릭,15,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
네이처라이크,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
다농원,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
더허브스토리,14,"히비스커스 티백, 히비스커스 허브티","brand, maker"
산들해,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
설다원,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
요기티,14,"히비스커스 티백, 히비스커스 허브티",brand
포스티보나,14,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
UNKNOWN,13,"hibiscus tea, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
내다람쥐,13,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
바르미식품,13,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
순수한집,13,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
탐나니,13,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
난다라이프,12,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
다송식품,12,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
덴스,12,"hibiscus tea, 히비스커스티","brand, maker"
로네펠트,12,히비스커스 허브티,"brand, maker"
마르티네즈에칸토,12,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
아모레퍼시픽,12,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
양원농장,12,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
오땡스,12,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
차예마을,12,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
쿠우쿠우,12,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
티트라움,12,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
티랜드,11,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
꽃샘,10,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
다질리언,10,"hibiscus tea, 히비스커스 차, 히비스커스 허브티, 히비스커스티","brand, maker"
청년농원,10,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
GDG SCHUTTE,9,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
도밍고,9,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
동광종합물산,9,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
로얄오차드,9,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
생생드림,9,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
오가뷰,9,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
인차,9,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
청수생약,9,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
트와이닝,9,"히비스커스 티백, 히비스커스 허브티","brand, maker"
PEACOCK,8,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
TEAS,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
네이처블라썸,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
노브랜드,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
더하다,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
방앗간청년,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
슬로우트리,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
올드티하우스1662,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
올바르다,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
유리아,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
테스,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티","brand, maker"
티이즘,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
티푸드,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
푸드센스,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티","brand, maker"
햄스테드티런던,8,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
늘해찬,7,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
대본,7,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
반듯한청년,7,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
스태쉬티,7,"히비스커스 티백, 히비스커스 허브티","brand, maker"
아니모,7,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
오피스디포,7,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
한국유기농,7,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
ac퍼치스,6,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
갑당,6,"hibiscus tea, 히비스커스 차, 히비스커스 허브티, 히비스커스티",brand
건강중심,6,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
굿앤프라퍼,6,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
레노마,6,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
로쉬,6,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",maker
비글로우,6,히비스커스 티백,"brand, maker"
비옴,6,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
산그리메,6,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
셀레셜시즈닝스,6,"히비스커스 티백, 히비스커스 허브티","brand, maker"
소유,6,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",maker
씨케이,6,"히비스커스 티백, 히비스커스 허브티",maker
어바웃네이처,6,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
어썸티,6,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
오늘도사랑해,6,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
오클리,6,"hibiscus tea, 히비스커스티",brand
우리오늘달달해,6,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스 허브티, 히비스커스티",brand
자라난약초,6,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
자연맘,6,"hibiscus tea, 히비스커스 차, 히비스커스티","brand, maker"
정&정,6,"hibiscus tea, 히비스커스 티백, 히비스커스티",brand
티바인,6,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
티에치,6,"hibiscus tea, 히비스커스 차, 히비스커스티",maker
티트리스,6,"hibiscus tea, 히비스커스 차, 히비스커스티",brand
굿라이프365,5,"hibiscus tea, 히비스커스 차, 히비스커스 티백, 히비스커스티",brand
